Court_ID	Court_Name	Court_Location
3d88938e-8b43-4765-8d5f-dc9b77f5436a	White Ltd Court	Sunyani
f8324b37-75c9-47ac-9688-7f647968916c	Martinez, Moore and Cruz Court	Ho
aab06f09-02d4-410a-ba19-a0e41bf5a353	Hansen Ltd Court	Koforidua
0be4d6a2-94d9-4b73-8dcc-3f78199c15b3	Lee Group Court	Bolgatanga
304b9876-e670-4a05-b183-c178de67d4a3	Morgan Ltd Court	Bolgatanga
fe861475-a0f3-4393-916c-bbb98ed6c7a3	Brown PLC Court	Koforidua
5dd5ab1c-3afd-4306-b6df-9d320bc8b4a7	Hill LLC Court	Tamale
520212d8-eda4-4e75-809e-73726fa41439	Fischer-Kennedy Court	Takoradi
4d7ed921-999e-4f01-9e3f-712b0993ffbd	Hamilton, Parrish and Riley Court	Koforidua
0efadbff-8176-449a-8bd3-8a471b6f53de	Griffin Inc Court	Ho
be3fec11-0956-42d9-8e3e-72c21c4e5885	Garcia-Smith Court	Koforidua
128c87cb-2db1-435d-ac6b-5c80bbf7cb16	Clark PLC Court	Accra
68c494c5-713e-4e95-9f70-adf7274ce503	Palmer Ltd Court	Sekondi
a2ed5d2c-1222-4158-a9e3-d9610aec2e40	Fernandez-Gardner Court	Kumasi
eb1f97d4-c8f4-47ed-a427-a4e312312d87	Perez, Horton and Spencer Court	Tamale
bd974057-a1b5-4078-baac-101454a31811	Wise LLC Court	Ho
53464efa-e60c-4082-abd1-cfd9fc0d96ec	Fernandez, Sutton and West Court	Bolgatanga
ed8acc51-578d-493e-b43f-a132f7f492cc	Ritter, Elliott and Yoder Court	Sunyani
abdfbdd6-f8ec-452e-abbc-1e9dee5b5860	Pruitt-Phelps Court	Koforidua
7e2959f6-ea88-4d82-b6ae-bfad0ca898d1	Ruiz-Harris Court	Bolgatanga
6c7c6eb9-a59b-4f80-9dc8-4352bdc18b2c	Moore-Carpenter Court	Bolgatanga
15ffb53a-cc3b-4ba8-8bbe-278223bc8b7e	Bates, Hanna and Jordan Court	Koforidua
22b9b762-1b60-4b64-9474-680e132d6639	Buchanan LLC Court	Koforidua
e06440d5-3b39-4b28-85a1-59afc3fbd22b	Hunter, Ballard and Olson Court	Koforidua
5a94e800-54d8-4640-b6b3-0eb2c998d930	Donaldson-Thomas Court	Ho
639cc061-97c4-4e5f-a7a6-11e271c4b48a	Wiley and Sons Court	Ho
d66226d5-deae-43f4-b71a-5dfa7e748cd7	Stewart-Terry Court	Sekondi
898a91e4-68d8-44c0-b276-d2e106196a66	Harrington-Collins Court	Accra
a1a4c923-5447-4de5-83fb-393691457634	Hart, Archer and Hendricks Court	Sekondi
14a9a4f3-3ef5-4a3f-8e0c-d546d9bb58d9	Blake Inc Court	Tamale
2e8fc206-662d-4c93-af12-93c6e264c173	Roberts, Carter and Brooks Court	Koforidua
268c16a6-0410-42ff-901d-60fa118a46fd	Evans, Fuller and Warren Court	Tamale
b50f85bc-4a4d-49a2-af0e-4e036bada00b	Gonzales PLC Court	Takoradi
99698fe6-a67f-47b2-97eb-1936b3599823	Fleming, Conner and Johnston Court	Sekondi
c613e239-5c12-4dea-9aae-1ad51feea6de	Oneill, Perez and Carter Court	Kumasi
b4f8d58d-cbd0-4dd0-91cb-cc833f4b0c09	Johnson, Arnold and Eaton Court	Koforidua
357a13d9-b56b-4f8e-97f0-06e533c10346	Gonzalez, Ramos and Andrews Court	Takoradi
646bcd01-d0dd-4df1-ad5f-919ba0b1fc15	Adams-Arnold Court	Bolgatanga
077d13a5-63a8-4c19-bc6d-e9022d8e3efb	Harvey LLC Court	Accra
b13b80a4-8482-46af-b35e-0bffe81fcd6f	Santos Inc Court	Cape Coast
ca09753f-de98-4a2d-a535-50d4a0339cd9	Jones-Donovan Court	Koforidua
a018932b-2e25-42bf-ada7-d3e3379266ca	Sullivan, Garcia and Golden Court	Koforidua
f5257393-0b6c-4d7b-9922-9957ac589716	Davis, George and Tyler Court	Bolgatanga
7d3688d7-2302-47ca-aadd-c54f5f12af31	Fletcher-Harding Court	Kumasi
33d54e3e-6aa1-4a4d-9e60-5a7fd1ab7168	Perez, Howe and Perry Court	Tamale
26346c49-5e33-42a6-a33d-f931a28161c6	Pena, Craig and Herring Court	Takoradi
f3f85176-c595-42b4-90fa-6aadf4b9a9c3	Neal and Sons Court	Cape Coast
1a8e41b3-f041-49b8-aa22-76f1387d173d	Jones Ltd Court	Takoradi
