Case_ID	Case_Type	Case_Status	Filing_Date	Resolution_Date	Cost_Type	Amount	Payment_Status	Outcome_Type	Resolution_Time	Judge_ID	Court_Record_ID
241b0d64-e8da-42af-ba19-04a64f45b4d5	Civil	Pending	2020-05-24	2022-12-05	Fixed	95645.8362385889	Failed	Conviction	162	1186938f-a9bc-4380-bfcb-98071f14c1f9	fc22113a-3602-4155-b462-edd7c5a48471
f97bfc8d-e953-4f33-9101-9306d65967d4	Labour	Pending	2021-10-10	2021-05-15	Fixed	49793.77689827418	Paid	Settled	174	d75476f9-fb84-4d9e-aa84-34a8a0bb6f30	d3baf2bf-1dfa-4649-81c3-321a5b20b71c
626d316d-2b8f-4ceb-8d2a-590620a872bd	Labour	Settled	2022-01-22	2022-02-15	Variable	74334.3382545733	Pending	Settled	277	e7df6103-3f31-42e5-bd2e-7bd83ce5864c	58620ead-12ed-4440-b68b-9b55905b32a5
0fb9b991-b50a-4893-956f-954fb4b81c4a	Commercial	Settled	2020-01-03	2024-06-28	Variable	80597.40431494781	Pending	Dismissed	322	ddedbdfd-40dc-468e-ad15-4585bf41559f	de6565db-f0e6-4487-ac3c-fea36ffc9433
0d7f8ee3-2e77-4e22-9cba-f7e758fa5ac3	Family	Pending	2021-03-11	2020-11-02	Fixed	87685.34126795585	Failed	Settled	302	0c95de6d-732c-4866-8aa9-cd833e53fd22	4138e352-b463-4410-9877-f48694632267
5e08d000-8195-4bc1-9480-c8db3e60be01	Labour	Closed	2023-09-09	2023-02-03	Fixed	95551.25514236648	Paid	Settled	246	126f1cc8-56ab-4e17-ad2c-705c6c6f51a7	c9c84990-067c-4ede-bfb2-efee7506aef1
c65bac11-122f-4397-983e-f3437bfab829	Civil	Settled	2023-02-21	2023-04-21	Fixed	93370.57969179763	Pending	Acquittal	202	26a07656-0dda-4e4d-952a-96252d65792e	dbdcdce9-6d8d-4dde-a183-12962d37154f
1b3121c5-bb31-4f12-8812-6df14a49f2e0	Labour	Dismissed	2024-09-19	2020-07-14	Fixed	63417.21646171138	Pending	Settled	353	59104775-bfbb-4301-9819-c8be2298047b	227b7858-29ae-4fa6-85af-e18c0168c849
6c1e4eb6-49aa-410f-a038-cc7d597d83eb	Civil	Dismissed	2024-05-15	2021-06-07	Variable	11854.099008030267	Failed	Acquittal	326	062eed1e-b900-477b-a23d-5f0c04269eba	f4e6f502-b11e-45d0-9fc6-e97a76d23d1c
470e3421-efef-466b-a6d0-cf696d0729da	Family	Closed	2021-05-19	2023-04-13	Fixed	77845.94152365197	Failed	Acquittal	284	8fb1bb77-4aa4-4bfc-9417-cc9cd7ab85aa	6d82cf53-a46b-4645-abfe-c22b65c02af0
dffee6af-efcd-4f15-9a0a-0bada396cde7	Criminal	Settled	2024-02-19	2024-10-05	Fixed	16468.7817983521	Pending	Acquittal	319	71dbd066-d37a-4643-a450-d81ac58fa3ce	5665039e-b043-4d73-9b00-e1e0ca6ddf22
14ec7c5a-0d30-45c1-8127-9db5df50638f	Civil	Settled	2021-08-14	2023-04-24	Fixed	73075.42893750119	Failed	Settled	352	f5fd606b-2f4d-471b-9b5a-9758138b1b86	585efa68-cd48-4dc7-b47e-b068023630e3
96c55840-f020-4db2-b15d-10af459a8f0c	Civil	Dismissed	2023-10-10	2023-10-24	Fixed	23401.960870166517	Pending	Acquittal	154	9ff0cbf0-bded-4d8a-b039-77e97c8ac1de	c7e70e57-4d3d-4d73-a661-a726235eb79a
1ed3aec0-4143-4334-912d-5cfc05e012a5	Family	Pending	2024-05-10	2020-05-17	Fixed	25540.95291612049	Pending	Acquittal	73	c01b03a5-b8c9-4725-9b8f-4c01d8a09f6b	4cfa277b-d978-4fad-abf0-df2bd590c26e
e2325770-ffcb-4e53-9e2e-d0926d393cc2	Commercial	Settled	2023-02-21	2021-04-28	Variable	64099.31499098374	Pending	Acquittal	275	8d2d7ca4-05c8-4bf9-be60-53adc7e1e9da	11fb94e3-b160-437f-b422-9e33fdf5b491
52d5ab87-bd97-471e-a9f1-6ab624eaf1d7	Civil	Dismissed	2020-01-24	2022-06-09	Variable	7884.3981618865555	Failed	Acquittal	305	5a726d8d-7480-4b41-bf7a-5dba81a1c34c	4a204e85-05f6-4c55-bf24-1d26587489a5
f052810c-ad10-4ed5-b76c-b59b6b795d9e	Civil	Pending	2023-07-13	2023-06-14	Fixed	64229.27722842542	Failed	Acquittal	172	7318548d-6b29-430a-ba2c-6a80b93cc8c5	a5994541-0c81-4c39-87e5-bcef8cdab173
946d95e6-8a9b-4c41-9e4e-ca8fc58f8f30	Commercial	Dismissed	2021-12-17	2021-09-02	Fixed	16864.21756535489	Paid	Settled	75	0e14c97f-f920-41b4-9155-f2891bf3e512	4d6883c5-93f1-4e94-83b8-b0db8e79a7da
a53f038a-5f70-4a4b-9a31-f4ae1f46ecf5	Family	Settled	2020-02-08	2020-05-03	Variable	41400.18496978122	Paid	Conviction	142	2f67b0c9-8c62-415e-904f-933150017ae2	1cd312a5-6e75-4d3d-961e-a9f98c1a1051
4040564b-707c-4b7a-ad0f-0fc98b3d67f0	Civil	Closed	2022-07-05	2022-03-20	Variable	90905.63110963418	Paid	Dismissed	364	ee037dd2-cbfc-41b7-9a2c-7ce2711d5315	9f893027-1539-4e9e-9350-e7e34e7309f1
635f8e61-a787-4d92-b5eb-cfd5797af379	Labour	Dismissed	2023-03-24	2020-05-28	Variable	84442.12422305382	Paid	Conviction	34	61b61b51-c334-48e1-8a93-045bb176654b	8486bc24-6464-4d6e-becc-99f88ac19c48
3dbe8738-621b-4ca5-a26f-3be662b4bd30	Criminal	Dismissed	2024-09-25	2023-07-08	Variable	88383.99372412906	Pending	Settled	244	c89f1d84-59ce-4599-8bad-06e702329e2c	1fc3adb1-a2fb-43fa-949a-191869ceb0e2
fe0b7e3b-263a-4840-8dec-b25c1d9da7fd	Family	Closed	2024-09-01	2024-02-22	Variable	92997.493159467	Paid	Dismissed	109	554dbc77-adfa-47e1-b5ba-3f09b72fc488	eae09d10-fa01-472d-9a63-dd184816692c
6d8a6310-46ea-4421-b5a0-05e10e77c584	Civil	Dismissed	2021-03-02	2021-10-24	Fixed	19153.86673898073	Paid	Acquittal	230	c6d1ac33-00c8-4ad5-b5e9-cedb49950aef	a6e187fd-aff5-40f2-8cf1-a54fc965a5a1
9cc82fa2-cbb6-4c6f-919a-7d9410f63d88	Criminal	Dismissed	2022-11-01	2021-11-19	Variable	71666.90994815165	Failed	Dismissed	252	0751df82-fe37-4df4-af79-ed4a03201bae	a768295b-f58d-4404-bc88-79da0a45f6ee
8c17909e-5883-47da-bfb7-c7452e9fc687	Criminal	Dismissed	2024-05-26	2022-06-27	Variable	41358.82825999191	Failed	Settled	107	68bb6fa0-6252-4844-9b2c-bf38a3dd7e24	9d476112-258e-43f3-97d3-bbb89fc0738b
b107bc63-89b8-4652-ab6b-fccef038254b	Civil	Closed	2021-05-28	2022-05-20	Variable	97746.79384966526	Failed	Acquittal	357	f8c31285-aa18-455e-b947-83270562861b	f723cdcf-8de6-4669-b5ab-ea3280d609c0
ae624fdc-94bb-4d9c-bcd0-d87bdb1a1f72	Civil	Pending	2020-10-08	2020-02-20	Variable	16320.429651728988	Failed	Acquittal	217	97ee1895-c9b9-4795-94b4-dcfb820cbb21	e32a16ff-cdd3-43d4-a98f-5630dac4018b
ab5bbc89-79e4-4f03-9669-72fe03d1aebd	Family	Settled	2023-10-20	2021-12-28	Variable	42830.98473292799	Paid	Acquittal	76	558ecb3c-5493-48d4-9987-2e39926f7cad	804744ee-7d83-4ceb-a9d8-e8eeac98592c
3b909a87-2ba0-49b7-b439-62057a04ccdf	Family	Closed	2021-08-08	2020-10-22	Variable	55661.85903376118	Failed	Conviction	40	40771bf7-9a10-4e1d-9310-74fc7e7687a8	310c47bb-6060-4200-9faf-cc9e9181b721
d8f60125-4803-412b-a1c3-940950d5ee44	Criminal	Settled	2022-04-04	2021-11-24	Variable	44718.95135447471	Pending	Dismissed	351	d279028a-a6a3-43cf-992b-4d3092be0c55	10662048-0bc2-423e-8475-87ca781eb479
8e3ab827-894f-4159-98f7-b3dd0cdbf6ee	Labour	Dismissed	2020-04-29	2021-08-07	Fixed	28554.812743808354	Pending	Conviction	91	ef02297e-9493-418b-852d-a3c52c2c749e	85090442-100c-435e-9bd0-9c4d3531c658
82b7ce5c-9d05-4e85-97d9-51cbc3239087	Labour	Pending	2022-05-14	2020-09-29	Variable	75415.16184221828	Pending	Conviction	164	a094485c-41d0-46fb-b022-51ea6e1d9fa2	1414163d-5096-4e0e-b8ca-b417e8437d76
e44048a5-2aa9-42b2-983b-32e1bf6104ba	Civil	Dismissed	2024-10-29	2022-05-03	Fixed	12291.485138221826	Pending	Dismissed	231	2df882bc-caa3-4596-819c-aaf3841ecbea	32e3ae46-f40b-4c7d-a64f-bf3f264a5f29
a404328c-db7e-4547-967d-176cdbef3cb9	Criminal	Dismissed	2024-07-09	2024-02-20	Variable	92350.2944456154	Paid	Dismissed	165	343cdbae-1114-47b5-9aeb-e0ff33537658	12a1d7fe-e1e1-472f-9736-f687a26f06bc
e70bb67f-7e35-4339-a4c7-4e4a5f125aa7	Criminal	Settled	2021-11-22	2023-02-28	Fixed	58646.53489340211	Failed	Settled	316	26c1df43-e2f8-43e6-ba77-b7f031b8dd1c	375e9535-414f-4ef9-9846-345c84837ed9
17b30e87-dcf0-4967-a55a-fd1e7731afe4	Labour	Pending	2021-12-31	2023-04-02	Variable	69338.07451770024	Pending	Conviction	62	ed8acd26-9461-4cf8-831f-3f8e4de8a60c	c4fa52fd-b870-4063-a6ef-64559ac9a450
9e66b36d-3a3d-4299-96a5-cc11cadbe7bd	Civil	Settled	2021-01-23	2020-10-10	Fixed	69411.32700881583	Failed	Settled	233	663f6f0d-9da3-4111-98c9-f7eff532b66b	7e8f8e33-ea70-4f40-8b69-4d4baa636f7d
d6e363d7-a2af-41e9-9b3f-0197a24deed8	Labour	Pending	2024-05-07	2022-04-01	Variable	57153.12437030592	Failed	Conviction	177	250571b9-fa52-47f7-be59-b30dfeeeb93f	2a59b922-bbe0-42da-a770-1e68aa35731a
2c52f8e1-f9a5-4459-8346-b1ba9a112825	Commercial	Pending	2021-05-24	2020-02-25	Variable	86623.55565090936	Paid	Acquittal	284	29234217-406d-4d1f-8ceb-c2fc39c308e5	c22b0819-a1fb-4320-8a5b-0c2580532509
98ed5deb-c7b9-474d-b9ce-1790f13a2821	Civil	Closed	2023-08-09	2024-05-15	Fixed	61666.53409015505	Failed	Dismissed	227	e4784efe-764c-4b7a-8b7a-477057abb3aa	e56afd6d-f325-425d-9a18-b4055ef9ce34
adc2e9f0-5efd-4b8a-94a1-cb3cbb3a28f9	Civil	Settled	2022-05-11	2022-04-19	Variable	78672.38529067198	Pending	Settled	155	745ad464-f8fc-423e-b6bb-a079f677e550	66916f2c-f870-4268-be1c-1b8813341ba0
0590a596-e481-47ea-a5fa-0776a00a7412	Criminal	Settled	2021-10-06	2022-12-10	Fixed	26942.00293496229	Pending	Acquittal	356	b015979c-4009-4b8d-b90b-21251e380aa0	5a5a5fa2-0f7b-4169-9980-8f065307da06
02f313ab-dbf0-4c94-aefa-ca63ae15b139	Civil	Pending	2024-08-30	2021-10-15	Fixed	39956.52492407633	Paid	Settled	151	c992542e-7a8f-4d4d-9f91-533cfcc34d64	9d227dcc-9bd6-4191-a8bb-3633796046a4
ee3f1e98-82df-4d47-92b1-7266472e35ca	Commercial	Closed	2024-05-24	2023-05-23	Variable	65372.91146490824	Pending	Acquittal	124	ed3ef324-cc32-4c78-9045-052b9735af44	ffb10670-7f60-49f4-a318-180896023e7b
30c1eeb3-5288-4ff0-a878-645eb8d38345	Labour	Dismissed	2020-09-07	2021-05-10	Fixed	85415.43670660778	Paid	Conviction	259	86e204e5-2659-494a-83c7-45e8564b4df0	2cf6f9d9-cb93-40d5-ae68-d92b021312f1
d49e6df0-1b16-4548-9846-116a6af137f6	Family	Dismissed	2023-06-16	2021-12-21	Fixed	66057.65813968447	Pending	Settled	309	d15825f3-560f-410f-914a-cf4a06634585	e1e8d8c6-2140-41ca-afa6-8ec0bf24ab98
ccce1209-03a7-4549-a06d-d78be22d211e	Commercial	Settled	2022-03-28	2020-09-24	Variable	3271.945259912676	Failed	Conviction	286	b4c7ff88-0b49-41b2-9132-7e9c0df7fcf6	c825f93f-6cfa-4f68-806c-636775a5e878
0744db92-5a0b-4b44-9bd5-580b9ca512e2	Commercial	Settled	2020-02-21	2021-05-19	Variable	7710.737122776107	Paid	Dismissed	224	6f8318ac-fbb2-422b-9298-d680bb376d7b	0e541fb3-ae86-4e90-9551-7182ad0c7925
15802fe7-ec75-41aa-816e-dcff7ae882a7	Criminal	Closed	2024-03-04	2022-06-01	Variable	41368.6559232749	Pending	Settled	31	2f986008-e4b0-4c82-aa68-87b45cec01eb	e667788d-9ea2-4b98-9819-652f2bcf800e
40feddee-a1bd-4134-82ce-2c1fa742b863	Family	Settled	2020-10-05	2020-06-28	Fixed	67530.24901542834	Paid	Conviction	315	c83a86cf-1ab7-4005-8dbf-3201cb16cc7b	4c791300-b8dd-46c5-b9ea-1d907148dd29
32434650-fdae-4e10-8fab-64812be81821	Commercial	Dismissed	2021-08-31	2021-07-04	Fixed	30781.877280396682	Paid	Settled	364	6fb96b66-f921-4b36-9727-7edf4d097d58	fb29f2c8-d6a0-4034-8ead-ca85bd39d105
6af78976-c449-4938-8cef-131cd71f3684	Criminal	Pending	2024-10-15	2021-06-08	Variable	45859.593106655535	Paid	Settled	62	6b56a754-52dd-44af-b0f9-226edfb349a6	19077859-93e1-4762-b1a0-fd32296b5ca3
e162ea35-3fef-46b1-8a0a-13792854c724	Labour	Dismissed	2024-10-09	2021-05-06	Fixed	18497.447911570096	Failed	Conviction	278	56bd7a85-e96a-4cc4-9b6a-c3eea32bdd43	84bd4104-9ccc-472b-8721-afd687912036
f86d1381-952f-4ec1-a6fe-2a1ca1cb8e24	Family	Dismissed	2022-12-01	2020-10-11	Variable	64746.70964723547	Failed	Settled	209	26185953-56f9-414c-a6e8-712a545ecec4	bfc2d093-5763-4d7e-9d25-9734ea8947bb
33294beb-e5ed-47c0-8999-d27a3384ca42	Criminal	Pending	2022-04-15	2022-03-30	Variable	20505.951341189513	Paid	Acquittal	285	aca38b87-932e-42dd-a57c-4e02873ba80b	7705e945-3bdd-4856-9682-026d852e1797
a2779957-163d-4370-8c79-1c90988431a0	Labour	Dismissed	2020-12-03	2021-06-25	Fixed	57142.10667568809	Paid	Acquittal	65	7db21429-ef7e-4f19-95d2-f32b2005adc0	f21fced2-eb73-4983-85c3-afcbac75ac69
1624e378-e4f9-4161-9db4-fed144e059cf	Commercial	Dismissed	2020-06-05	2024-06-20	Fixed	65555.76764957428	Paid	Settled	91	2684c2d7-b96c-4399-a921-42945216e9aa	742c5fe1-59c8-4bf9-909d-44996de6f157
359d2137-324e-41fa-8ae1-5f2e96536e05	Commercial	Pending	2023-12-28	2022-06-26	Variable	27562.76540463795	Paid	Dismissed	301	9208cf34-0765-4b4f-8d80-f6f441e960a4	b9c3ff91-5adb-447f-a980-5cfc7d880203
313d3e18-8fc3-4cb7-99e8-c3e6f0ab193a	Family	Closed	2021-09-17	2020-11-23	Variable	69154.10698140167	Pending	Settled	182	efaa55bd-d4b2-41ef-96ff-c92fb63b35c1	c94437aa-6612-431b-8f16-04e2aad13c48
2bb15c30-3ed6-4cba-82d9-251f6dca153d	Criminal	Settled	2023-02-27	2021-09-25	Variable	6335.237439558354	Failed	Acquittal	283	be023a95-eabe-4362-b2c6-4d51f379d45e	1721a01d-359c-4ceb-a0c1-a81ec75f1419
a3986d68-bd51-4374-bf13-0270162991f0	Criminal	Closed	2020-07-16	2021-10-30	Fixed	14614.24142927663	Paid	Conviction	151	d07e9e40-e32b-4e8f-b012-e9ffb2d0cb44	b4321f51-eaa7-43c4-b4f5-6e82f71e079e
ed6fb6af-d1a1-4aae-96d4-caa7da098cb3	Commercial	Settled	2021-07-21	2022-10-27	Variable	66445.12450588489	Pending	Settled	359	3599f92c-00b3-42d4-972a-0d35413adbef	8bd8210a-1757-45b2-b994-ebac6e9c1e78
8d5ecb82-fb99-47c1-879f-0317d6720933	Commercial	Settled	2022-07-06	2022-11-10	Fixed	69439.61496757079	Failed	Settled	199	9fa3f6c7-dc54-4533-ab18-4fd94adea695	36a5fc8d-409b-4e81-ba0d-f65ec79f5efc
ea665b55-18a0-4a31-a190-5d604848ad6f	Civil	Settled	2021-05-15	2023-08-08	Variable	29909.644569036755	Failed	Dismissed	141	8fbacbad-97a9-49fb-a01b-f7c64345c4d9	a44f958a-cf59-44f6-96e6-1a593ef5f8f5
4373f039-d512-45cb-a934-35a11c7d1fb6	Labour	Dismissed	2021-07-30	2024-01-21	Variable	55210.45030224083	Pending	Acquittal	283	6dc53cd1-3476-4531-a9a0-6c6325b34f5a	6b039d51-3056-4017-a4d9-77899a46d22b
7a17cfaf-5216-4eec-8123-b50d55a4ce20	Commercial	Dismissed	2022-06-20	2021-02-17	Variable	28581.825016539337	Failed	Dismissed	336	320af09c-93e6-4e07-9b49-27fe06f86bf8	c62e555f-5154-438e-ae94-53ed3af0aa05
f0492360-1357-4422-a9e8-80948c1acda7	Civil	Dismissed	2020-05-20	2021-02-23	Variable	76276.43409912742	Pending	Acquittal	287	ac3fe703-1b6f-4239-81c9-ebb5f760c875	a2e655c4-7cf4-4ae1-a46b-d681568a95da
0f390990-2b92-4d77-82ee-998505774006	Civil	Dismissed	2023-01-29	2021-11-11	Fixed	4936.847577301538	Pending	Acquittal	237	8c319476-73a9-4e02-9916-c396dc7b84ae	7a5a77be-55b0-4c45-aef7-c6431390d48e
9fef094c-15a2-40ce-a405-05bba5ed8e33	Labour	Closed	2023-12-06	2022-12-31	Fixed	28860.10884672411	Paid	Acquittal	304	464405a2-1af0-4dc6-a3b0-8f129c8c8bfa	b4c79501-f70c-4b04-8706-06301294701a
13c6dca3-f80d-4a5a-a715-2b287f61bae5	Civil	Dismissed	2023-07-15	2020-07-19	Variable	59514.262058571294	Failed	Dismissed	340	7335cccf-f8f0-4c36-82e5-a73dcadc3cef	f28a8f78-9136-4d88-abe2-95997c3c904c
53242a47-c94d-4e77-85da-e7cb252a18af	Family	Closed	2022-12-14	2021-03-06	Fixed	39771.191530863245	Failed	Acquittal	208	3671dfc9-e2e2-4e10-a810-53e7921de03c	c114175a-0e82-4d4a-96f5-35aa7a68df5d
0dce0fe1-42ae-4292-a635-5143e161e351	Labour	Settled	2023-01-23	2024-05-10	Fixed	3846.5042026992014	Pending	Dismissed	95	7da79d63-1811-4304-870f-54dfb8e35194	0eb58b6d-4ea4-44e0-b83a-1caebe3e004d
138a6a96-e27d-40b1-9ff8-30fbf74503bd	Criminal	Closed	2020-08-02	2024-11-13	Variable	81395.23917593718	Pending	Acquittal	191	45406285-c4dc-432c-a9e6-b8ab8f6d7ed6	7e925729-de8f-45df-b392-0705af9cfe52
99e2e8ba-72d1-4698-8917-d38057b9c5b4	Criminal	Pending	2022-01-19	2023-05-14	Variable	69550.03749965903	Paid	Dismissed	221	6119d633-d76a-440d-9fd5-69a1fde217bc	35e7f9a3-55e8-41d7-a764-8288ca74631b
508109a8-722a-442a-bd05-9069094b3d11	Criminal	Settled	2022-02-20	2022-06-03	Fixed	95989.79729381799	Pending	Acquittal	268	33e412f8-bfcd-42fd-8c1b-0441e5f4b3c1	7393acf8-fe6c-41ac-9df3-fe8f4a19c543
529b437a-b09c-4900-9d51-f8fb78a1cd4b	Criminal	Pending	2024-10-28	2022-06-09	Variable	64370.03102410163	Pending	Conviction	123	9025c153-3487-4afa-acb0-aa353938363b	31d2da4e-87dd-4c3c-8eae-a6bdaba0e19f
f587e053-ad68-4a51-8a4d-339c94870744	Commercial	Closed	2022-01-16	2021-03-15	Fixed	49763.607948156685	Paid	Settled	349	c52cb92b-1e24-4940-bd14-20992ab90a9f	23223d8a-e29a-4d53-88f6-a68a3c9514e0
0b92f09e-ec8e-4bf4-84f8-9bc8695ecaff	Criminal	Pending	2024-05-16	2021-05-31	Fixed	5664.243440928002	Paid	Conviction	78	b0f91ff8-9982-4048-b9c5-4dbfe0c974d6	33261d3f-0fde-4674-b5bb-595088d85e6f
5f8b77e8-2088-481a-a4f5-a58c0ae37169	Civil	Closed	2020-03-10	2024-04-08	Fixed	57449.95329417862	Pending	Conviction	258	00121f3e-a8bd-418b-860d-952519da535f	7b9111cc-9d9d-4f1c-93f3-de9a92e41333
39865332-ed62-4d89-a390-7af5c3297936	Labour	Dismissed	2021-12-30	2022-07-16	Fixed	68862.81571623583	Paid	Settled	231	e271242c-9b6c-4827-a1d0-15667d074d01	c7f46a05-b4fd-4f2c-b8d1-f7f0d481c282
f866e0c4-ee2d-44ef-af5e-7be9e6e346f4	Civil	Dismissed	2022-09-29	2023-05-17	Variable	87729.09673757525	Failed	Dismissed	287	28a7dc6e-eb7b-492a-8d14-6c245da8324a	16976583-628d-4d35-ae88-de9214f53680
